video_id,title,view_count,recorded_at
1LXQP74FBKM,2박 3일 지나도 잡채가 불지를 않습니다!,1823374,2026-09-18
e8Amncegsac,남편이 동그랑땡보다 더 맛있대요 #레시피,1859194,2026-09-18
4BawgbCyDWg,쫄깃한 식감의 비법! '수제비' 레시피!,762902,2026-09-18
--I4vEaJY40,만들어두면 1년은 든든한👏 양희경 다시마식초 레시피,515649,2026-09-18
E2bFMRqXMRU,브로콜리 새우볶음 맛있게 만드는 법!,459853,2026-09-18
F51fpEojP38,7평 자취방에서 대왕김말이 만드는 브이로그,376241,2026-09-18
KrM2ysczGZ0,풀과 절임없이 손쉽게 완성하는👏 김치명인 영양부추김치 레시피,337161,2026-09-18
eTnXDQSb-t0,잡채 ‘이렇게’ 만들면 절대 불지 않습니다  쫄깃하고 윤기나는 잡채 만드는 법,364204,2026-09-18
9imLd7JPRfY,25년째 해먹는 초간단 계란죽 #아침밥 #자취요리 #집밥레시피,261118,2026-09-18
4nfd1_kBeQg,재료 3개 3분 컷! 역대급 단짠 스팸계란주먹밥 🍙 ⁠#Shorts⁠,341011,2026-09-18
mbXWfkr30kw,한고은이 MSG로 의심한 깊은 맛! 윤주모 애호박찌개 레시피,241692,2026-09-18
NfUi0qxJIqo,너무 맛있어서 제일 잘팔리는 반찬 이보은의 진미채볶음 레시피,202803,2026-09-18
1d8cxSKyW1A,"반찬가게에서 절대 알려주지 않는, 반죽 하나로 만드는… 동그랑땡+고추전+애호박전+꺳잎전! 명절준비 완료‼️",165272,2026-09-18
goaOKgsEcnI,아보카도 계란 샌드위치 만들기! 🥑🥚🥯#shorts #자취요리 #레시피 #요리 #집밥,113502,2026-09-18
x6F_U_TtVcI,엄마표 낫토 만드는 법 🌱,80827,2026-09-18
FsfHiIUQ0bo,집에서 가장 진한 비프스톡을 만드는 법,92555,2026-09-18
gUEalb4N9xk,6초면 다 익는 라면으로 특별한 요리를 하는 법?,68247,2026-09-18
DV4qU2Tl7aY,새우전 꼬치 끼우지 마세요 꼬치 없이 쉽고 간단하게 만드는 비법! 너무 맛있어서 손님들이 이것만 먹어요 초간단 새우전 레시피,47015,2026-09-18
