video_id,title,view_count,recorded_at
JPQTclVOEmc,초간단 수박주 황금 레시피 #윤남노레시피 #수박소주 #칵테일,804599,2026-06-28
40RlAHp5-6A,쌈된장이 기가막힌..!! &#39;양배추쌈&#39; 레시피,2000085,2026-06-28
fCkEJAudCpE,이연복도 깜짝놀란 장신영 초간단 탕수육 레시피,7242505,2026-06-28
sL3c5h1DjaI,급식대가의 비밀이 담긴 메추리알장조림 레시피,3020129,2026-06-28
8tJYmoUWzDU,옛날 소금오이지 3년을 보관해도 끄떡없어요,2179183,2026-06-28
tBlURkiPBaM,여름에 먹어야 더 맛있는 #크래미오이냉채 #오이냉채 #크래미냉채 #여름별미 #냉채무침 ##크래미요리 #김미푸드 #레시피 #푸드 #한식 #집밥 #반찬 #냉채요리 #오이무침 #food,858576,2026-06-28
FK2P2MvcmT8,"한국인 90%가 잘못 알고 있는 고기 굽는 법 (등심, 삼겹살, 목살 맛있게 굽기)",275643,2026-06-28
AOuh9tf3RNA,집에서도 식당 맛 그대로! 돼지 목살구이 만드는 법!,567441,2026-06-28
QN9SLwLDzCw,혼자 먹기 미안할만큼 맛있다는 급식대가 두부조림 레시피,620625,2026-06-28
HoVOQcq-L9E,"식어도 촉촉한 잡곡밥, 비밀은 딱 두 가지였습니다 #생활꿀팁 #건강 #노인건강 #건강정보 #청소비법",548872,2026-06-28
mb_aynSnD0M,삶지 말고 쪄보세요! 쫄깃함이 폭발하는 비빔라면 황금레시피!,561715,2026-06-28
H_xgV30VRVA,너무 맛있어서 오이 한 박스 또 사러갑니다. 밥 대신 먹으면 맛있는데 살 빠지는 인생 오이 요리 3가지👍,131510,2026-06-28
N7X3VTWdkuE,당면 킬러집중!! #콩나물당면잡채 #콩나물당면볶음 #열잡채 #콩나물잡채 #콩나물당면요리 #김미푸드 #집밥 #한식 #당면요리 #콩나물요리 #간식 #잡채만들기 #잡채레시피 #음식,343602,2026-06-28
qcsaYsiz6dM,콩나물 전자레인지에 3분만 돌려보세요! 온 가족이 매일 찾는 반찬이 됩니다,130451,2026-06-28
lrjvZeDDVtk,오이지는 물 없이 담가야 진짜 맛있습니다!,306212,2026-06-28
k-fk_PPFv80,고춧가루 대신 이걸 넣으세요😊 이렇게 맛있는 열무얼갈이김치는 처음 담가볼걸요,106460,2026-06-28
bCK2INb7f6M,매년 여름 찾게 될 오이냉국 황금레시피,177897,2026-06-28
