video_id,title,current_view
1cpg_4FZjP8,설탕 대신 쟁여두는 만능👏 윤유선 양파당 레시피,2187434
vwxrwMWl_Ak,샐러드 전문점 '흑임자 드레싱' 레시피!,1142648
NNWA5i7XsP8,'이걸' 바르니 고급스러워진! '동태전' 레시피!,2816726
jBN5-dLVlM8,반찬하기 귀찮을 때 딱인 간단존맛 계란찜 만드는 법,840263
Icw5gRFKvq0,고기소 하나로 전 3종 완성! 홍진경 동그랑땡 레시피,557951
NEDQ_uuQ1Jk,1분 만에 머랭쿠키 만드는 방법,499020
seLsy5tRRfc,"(전)반찬가게 사장님 레시피, 다음날 까지 절대 안불어요!!",210397
iPoiPgHssow,100뷴 넘었던 시어머님표 잡채 레시피!이대로만 만들면 시간이 지나도 불지않는 잡채가되요#잡채#불지않는잡채#잡채레시피#명정음식#설음식#명절#설날음식#설음식,423968
HCZAkfc8ibM,가지볶음 기름 안 먹고 쫀득하게 만드는 법 #건강 #건강정보,310162
SnOWcRqODH0,미역줄기볶음 비린내 잡고 오독오독하게 만드는 법 #건강 #건강정보,277830
dIc92Z7b2GE,잡채 만들 때 무조건 간장 대신 넣으세요 한식셰프가 알려준 맛의비결 #건강 #레시피,281425
4ebny6s-U2Q,밀가루 달걀 넣지마세요! 가장 맛있는 녹두전 맛있게 만드는 법,93042
A3cyXA3-KYI,명절 만두 절대 달라붙지않는 TIP👍만두속 맛있게 만드는 방법#만두만들기#명절음식#명절만두,233246
ehcaCHex6xo,국물 자작한~ 소불고기 황금레시피,181620
x91vqhF_yGs,"전문점보다 더 맛있는""LA갈비찜"" 만들기",153328
IXdpjr6Epj8,비빔국수 10배 맛있게 먹는법,216428
nB4_baiSfuA,국자로 세상에서 제일 쉽게 깔끔한 수란 만드는 법,135294
1WMik76QUpE,대박 칭찬받는 고사리나물 맛있게 볶는법😊 비린내 없고 깔끔한 50년 비법 꾹!,56695
QJtH7VVoaXw,무조건  두 줄 먹게 되는 참치 김밥! 명절 참치캔 순삭 레시피,91044
z0lkpWEUekY,샤각한 젤리 코하쿠토 만드는 법!,105873
RAt1vrUw8iI,파브리가 알려주는 이탈리아 오믈렛 프리타타 만드는 법,69860
qq-m96foREE,밀가루 없이 에어프라이어로 계란 케이크 만드는법! #노오븐 #에어프라이어베이킹 #노밀가루 #케이크만들기 #계란요리 #치즈케이크 #계란빵 #다이어트간식,56735
Chpp2XSHmSE,제발 약밥 복잡하게 하지마세요! 찹쌀만 씻어서 전기밥솥에 넣으세요.,23106
JUGSJraPqYE,시장보다 맛있는! 녹두전 맛있게 만드는 법,48537
klkdz2ZkZqc,100% 맛있게 만드는 나박김치 맛있게 담는법,41180
0k2bbFKbMhQ,비린맛 없고 부드러운 고사리나물맛있게볶는법,46445
qGrtr9xV0s4,잔멸치볶음 바삭하고 고소하게 만드는 법 #건강 #건강정보,50205
rj7zWo1L0bw,"못생김 주의보🚨 심퉁이, 도치 알찜 만드는 법 The Most Ugly fish Pacific spiny lumpsucker🐟 How to make steamed eggs",30304
ppk4lWyCwQA,탕후루의 달인 1개 레시피 빼고 모든 급식 레시피 #관리자님이거추천어때요,33423
66yL4z5Dp2E,명절 끝나도록 불지 않는 잡채 맛있게 하는 방법,39259
9oVg_bsQqrM,비린내 없이 맛있게 조기 굽는법 #조기구이 #명절생선요리 #요리비법,42456
v9EI8nmylBY,요즘 유행하는 2way 피자 만드는 법,29591
9HrLx3nANI0,10분이면 하루 종일 끓인 갈비탕 맛이 난다고?,150022
qj3DZ9qyQdI,라면 스프로 딸깍하면 가능합니다!,295567
D2nMK3Li1pA,소꼬리찜 전골 : 꼬리곰탕과 전혀 다른 매력! 국방부는 이 메뉴를 적극 도입해야 합니다. (이가네가마솥설렁탕 싱크로율 90% 레시피),406519
36erZei-4uw,"(145) 3x Speed 케이크 디저트 베이킹 영상 | Cake Dessert Baking Video | 초콜릿 케이크, 크레이프 케이크, 초콜릿칩 쿠키, 바스크 치즈케이크",4177
EwUHFrZB0WQ,흘러내리는 초콜릿! 떠먹는 라바 초콜릿칩 쿠키 Melting Chocolate! Skillet Lava Chocolate Chip Cookies #Shorts,23955
rE5v3j41fPk,겉은 바삭 속은 녹는 떠먹는 라바 초콜릿칩 스쿱쿠키 만들기 | 가나슈&스모어 | Lava Chocolate Chip Scoop Cookies | Ganache & S’mores,15300
8m8dUi04Vbc,한입 컷! 미니 바스크 치즈케이크 4가지 맛 4 Flavors Mini Basque Cheesecake #Shorts,22176
MESToMNC4eU,"미니 바스크 치즈케이크 만들기 | 한 가지 반죽으로 4가지 맛 굽기 | Mini Basque Cheesecake Recipe | One Batter, 4 Flavors",33574
ZVOwzx-AjAQ,🍓음악 없는 2시간 딸기 디저트 베이킹 영상 모음 | 수면·휴식 | 2 hours No Music Strawberry Dessert Baking ASMR | Relax·Sleep,31273
y7lqGpE3XMw,핑크꽃 가득🌷꽃다발 크레이프 케이크 Pink Flowers Bouquet Crepe Cake #Shorts,35933
4NbzoWVHsgs,핑크 크레이프 꽃이 가득🌷꽃다발 크레이프 케이크 만들기 | 노오븐 떠먹는 케이크 | Pink Crepe Flowers! Bouquet Crepe Cake | No-Bake Cake,33569
0UCIHgbLw3k,💝히즈 vs 허즈 발렌타인 트윈 미니 초콜릿 케이크 His vs Hers Valentine’s Twin Mini Chocolate Cake #Shorts,15627
hzJD32niOlw,[이연복] 샐러리의 화려한 변신! 샐러리 대파 소고기볶음!,4449
rIw2AfZDsYE,[이연복] 1000원의 기적! 팽이버섯 덮밥!,17946
oMsrw6CJzwg,고구마였는데 갑자기 치즈됨,68865
zLuXVbqRkTk,대보름 나물로 마른 가지나물볶음을 맛있게 만들어보세요 심방골주부,3160
048mQGxH2Ac,정월이 되면 메주를 만들어서 장을 담아먹습니다 01,5391
-vEt4tsBhnY,정월에는 메주를 띄우고 간장과 된장을 담았습니다 (vlog),11318
7ToR3oWpml4,명절에는 햇김치로 배추겉절이를 맛있게 담아보세요,31776
YAdE4uTKfn0,명절에는 빠질 수 없는 돼지갈비찜 맛있게 만드는 방법,19150
JhtNbxr88iM,명절에 빠질 수 없는 돼지갈비찜 정말 맛있게 만드는 방법 심방골주부 2026,29580
w5lGDXQZshE,사과를 밥솥에 넣었더니 놀라운 맛입니다,108344
bSTPNRzlp9I,식은밥이 있다면 이렇게 해보세요,76138
3tigIVB6LMc,"""대박집 생대구탕"" 비린내 1도 없이 끓이는 비법 알려드립니다",55945
exzL0kLFGp0,"기발한 ""소고기 장조림"" 이거 대박입니다",43789
uCRjBYcfrSo,문 닫고 구워도 비린내 1도 없이 갈치 굽는 꿀팁 가져가세요,79057
5__XnDD1Eb0," ""팥양갱"" 설 명절 간식으로 최고입니다",121944
-6Yegg64NFs,불닭볶음면 10배 더 맛있게 먹는 방법,152286
KlWczM-p_nI,초간단 과일롤 만들기🍓| #만들기#초간단베이킹 #쉬움#만드는법 #포장계 #베이킹 #관리자님이거추천어때요 #알고리즘부탁해 #추천추천추천,178396
st1GTxjVkpM,명절마다 인기 폭발! 새우전 만드는법,81146
o0iq0C3dmQM,눈오리 쿠키 만드는 법 #눈오리 #cookies #홈베이킹,53345
aCrS0MUiVWw,요즘 유행하는 젤리 얼려먹기 성공??🪼| #젤리#얼리기#젤리얼먹#asmr#간식#포장계 #제발떠라 #컨셉아님#만드는법 #관리자님이거추천어때요 #떡상기원,43495
vlosMu_3aE0,손님들에게 대박 칭찬받는 LA갈비 양념 황금레시피,30500
Y1CVP8MK4WM,한 시트로 두 가지 발렌타인데이 트윈 미니 초콜릿 케이크 만들기 | 딸기 & 가나슈 크림 | Valentine's Day Twin Mini Chocolate Cake Recipe,31178
RZDpal24VuE,초코파이로 생초콜렛 만들기🍫| #만들기#초코파이#초콜렛#만드는법 #음식만들기 #포장계 #관리자님이거추천어때요 #알고리즘아부탁해 #제발떠라 #떡상떡상떡상,926437
0CRLIvpj09g,가족에게 칭찬받는 황금비율 이혜정 LA갈비 레시피,379824
br6Gaqi0jnY,잡채 먹다 남아서 버리셨나요? 3일이 지나도 절대 불지 않는 기적의 레시피,475897
AIfZZSxfnEM,힘든 명절전 반죽 한가지로 해결!,122712
SIsU8pcRLgc,명절반찬 오징어초무침 #shrots,137496
ACOe-NHKfBI,속이 뻥! 뚫리는 시원한 나박김치 맛있게 담는법,35681
_ubtdBp0WB4,라면만큼 쉬운데 극찬받는👏 이영자 소갈비찜 레시피,72336
85uolHxYk94,양배추 세척 손질 하는 방법 자르는 법 레시피,68519
pDBJWZY4vEg,모처럼 쓸 만한 SNS 레시피 찾았습니다!,52967
mysqAKOXYhY,[이연복] 돼지고기와 애호박의 역대급 만남! 돼지고기조림 호박!,13079
7iIOguY9kpk,기발한 소고기육전,459285
uPDI5Cf4pXw,이 레시피는 처음 봤을 겁니다.,57506
Y7hvZBTBTpg,재벌들이 감탄한 그 맛! 초간단 미자언니 떡갈비 레시피,931425
EkDZvbjUHLc,[⭐️70만⭐️] 명절반찬 황태채볶음 황금레시피 #shrots,759201
TEdym1BfLBs,[🔥40만🔥]액젓 대신 '이것'?! 봄동겉절이 초간단 레시피 #봄동 #황금레시피 #건강,400083
ZmYNCC3qOMM,누룽지 아직도 후라이팬에 하세유?(초간단 누룽지 만드는법),364458
5vhQMwRoA6s,전직기사식당 이모가 알려주는 LA갈비 양념 비법 #명절음식,102068
aeodITPUxb0,페레로로쉐 파베 초콜릿 & 휘낭시에 만들기 | 발렌타인데이 디저트 | Valentine's Ferrero Rocher Pave Chocolate & Financier Recipe,35001
377dZaFIVus,청경채 절대 볶지 마세요,95652
kHzrynFIttQ,명절에는 햇김치 배추겉절이로 산뜻하게 담아서 드셔보세요 2026 심방골주부,26801
7C_evce3LoU,소고기 절대 볶지마세요,629883
