video_id,title,view_count,recorded_at
Ba3rStGLdPw,아침에 먹으면 하루종일 든든한 양배추 사과 샐러드 + 마요네즈 없는 참깨 드레싱(목소리버전),415186,2026-05-16
rLEyOHvGb1Y,맛집 기사식당 느낌의 &#39;제육볶음&#39; 레시피!,4289558,2026-05-16
DxWit8zeGs4,김준수도 감동한 김재중 엄마의 상추동치미 레시피,2104672,2026-05-16
UbSxu5Ujyjc,🍎🤯 사과 하나로 전통 백식초 만들기! 알고 계셨나요? 저장 필수! 🔥💯,723215,2026-05-16
isb4k0xznkE,단돈 만원! 누룽지백숙 🍗🤎 #레시피,735526,2026-05-16
89h3FSo5V-4,요즘 핫한 왕뚜껑 국물라볶이 종결 레시피?,814694,2026-05-16
3RIoXFBgFv4,[⭐️80만⭐️] 백반집 히트반찬 고추장멸치 마늘쫑볶음 #shrots,838798,2026-05-16
DVX1fIvwIG4,도토리묵보다 10배 맛있는 초간단 레시피,592353,2026-05-16
zblWzs7L7b8,5분만에 가족들이 극찬하는 요리,524023,2026-05-16
wgzRBM7711k,미나리 안 질기게 데치는 법. #미나리무침 #미나리데치는법 #나물요리,517957,2026-05-16
SUUVYovrznc,요즘 난리 난 불닭냉면🔥맛있게 만드는 법‼️,290902,2026-05-16
tG6qFln80TA,딱 3일만에 완성😊 이렇게 쉽고 맛있는 오이지는 처음 담가볼걸요,157895,2026-05-16
DM_wZu3GAcQ,[⭐️35만⭐️] 고추장 머위 장아찌 #shrots,372703,2026-05-16
YaIcgxNc5is,너무 맛있어서 양파 한 망 또 사러갑니다. 고기보다 맛있는 초간단 평생 밥도둑 양파요리 3가지👍,129156,2026-05-16
p54Ekcz7IQs,산속밥집 마늘쫑장아찌 #shrots,257306,2026-05-16
gdV3f3nQ8PA,💥이렇게 담그면 무조건 성공! 열무 얼갈이 물김치,78331,2026-05-16
6caP24O7Qds,김재중의 아픈어머니를 위한 요리 나박물김치 #김치 #물김치 #한식반찬,165015,2026-05-16
8zWhlSCG31I,국물까지 싹 비우는 순두부계란탕,195501,2026-05-16
PvjAEkTH0ho,요즘 제일 반응 좋은 두부강정 레시피,152618,2026-05-16
9vIvi_SiMrM,마늘쫑 볶음 황금 레시피는 바로 &#39;이것&#39; #건강 #건강정보 #요리,128463,2026-05-16
IbithJr4aqk,물없이 만드는 친정엄마표 오이지 담그는법!  너무 간단하니 꼭 해보세요,125572,2026-05-16
VPkq3EnM8sk,&quot;상추겉절이&quot; 다 빼고 딱 이것만 넣으세요😊,32080,2026-05-16
Y1Y3Ng44eVk,이렇게 쉽고 맛있는 오이지는 처음 담가볼걸요,81633,2026-05-16
pp2IDOQMG5A,오이지 초간단레시피 세상에서 제일 쉬운 오이지 만드는 비법,78498,2026-05-16
gLV9tByhxWA,황금비율 양파 절임 만드는 법 #쇼츠#양파절임#음식 #말티푸 #강아지 #트롯트 #박서진 #닻별 #영웅시대 #임영웅 #bts #shorts #food #btsarmy #음식정보,66278,2026-05-16
v88yF5NcGaA,-12kg 무용과 레시피✨,54332,2026-05-16
QqF4Ve4S5IA,누룽지 아직도 후라이팬에 하 세유? (초간단 누룽지 만드는 법).,59261,2026-05-16
aNmzyc1SqVE,옛날 방식으로 삭힌 마늘쫑,47340,2026-05-16
VlJmrjWaqq8,할머니의 아삭~ 홍합부추전! 바삭함이 두배되는 황금 레시피~,43968,2026-05-16
MuMMm-8uvXY,향긋해서 정말 맛있는 미나리김치 담그는법,38956,2026-05-16
oJGQ9fWMHFw,강레오 초간단 버섯볶음 황금레시피!#강레오레시피#버섯볶음#초간단요리,34183,2026-05-16
M57BEMEhXBk,만 원으로 만드는 말도 안되는 술안주 하나 알려드림!,21574,2026-05-16
uVes1uzgTTE,만 원짜리 고기를 10만 원짜리 요리로 만드는 방법,94525,2026-05-16
W_k5b2-88FM,저렴한 식재료로 비싼 요리 만들기!,23566,2026-05-16
WYgFYtcRHj0,고기 좋아하면 무조건 만들어 보세요!,42756,2026-05-16
fLIlS8lvcDQ,"농담이 아니라, 원래 돈 주고 배우던 겉절이 양념 레시피",70081,2026-05-16
UnUOLQu4Sj0,망고 커스터드 슈크림 만들기 | 여름 망고 디저트 | Mango Custard Cream Puffs Recipe | Homemade Choux | Mango Dessert,10661,2026-05-16
ZpYXKCWgAUM,와그작 초콜릿 마시멜로 케이크바 만들기 | 초코파이 | Crunchy Chocolate Marshmallow Cake Bars Recipe | Chocolate Dessert,22729,2026-05-16
kpyvB9F2XZw,"(148) 3x Speed 케이크 디저트 베이킹 영상 | Cake Dessert Baking Video | 딸기 초콜릿 케이크, 우베 치즈케이크, 초코칩 쿠키, 카스테라, 타르트",23510,2026-05-16
fvZLrSvke_o,"알록달록 4가지 미니 과일 타르트 만들기 | 딸기, 망고, 블루베리, 키위 | Colorful Mini Fruit Tarts in 4 Flavors Recipe",31477,2026-05-16
oVirZ4vPkV0,"한 번 만들면 두 가지 초코칩 쿠키 완성🍪 Make Once, Get Two Chocolate Chip Cookies #Shorts",13731,2026-05-16
XBIie8Brh8c,계란 없이 촉촉한 비건 초콜릿 바나나 브레드🍌 Moist Without Eggs! Vegan Chocolate Banana Bread #Shorts,13074,2026-05-16
N_JzWtjoYMk,"한 가지 반죽으로 2가지 초코칩 쿠키 만들기 | 쿠키 스틱과 미니 쿠키볼 | One Dough, Two Chocolate Chip Cookies Recipe",21905,2026-05-16
C7QV1VAzCRs,[이연복] 다른 반찬 필요 없는 완벽한 닭다리 조림!,48466,2026-05-16
jgGzNR1xISA,얼갈이와 두부만으로 만드는 중식 밥도둑 #shorts #cooking #이연복 #레시피  #먹방,20648,2026-05-16
IbszR-9J-ts,들기름 국수에 '이것' 넣었더니   천국의 맛 #shorts #cooking #이연복 #레시피  #먹방 #들기름 국수,115343,2026-05-16
3W6EzzIrc0Q,호떡 힘들게 만드는 여자♥️,38206,2026-05-16
X5F1wv2cYiE,결벽증 있는 사람 버전 치킨까스,23695,2026-05-16
60ldKd8ZQb0,분명 에그타르트용이었는데… 베이비슈 만들기 대성공✨(이사 전 마지막 집밥),26948,2026-05-16
60UWigY_eIg,아삭하게 소량씩 먹고싶을 때 마다 오이김치를 맛있게 담아보세요,15028,2026-05-16
_Cc4a_QUTo8,당근주먹밥 이렇게 만드세요 영양만점 너무너무 맛있어요,50515,2026-05-16
c9IUQ17lwJI,"35년 영업비밀 ""오이무침"" 이 방법이 최고입니다",304294,2026-05-16
YLBEw5CJmQc,"된장국에 ""이것"" 넣고 끓이면 맛을 확 살려줍니다",24413,2026-05-16
-1fQHqvylHU,면역력 높여주는 인삼주스,27861,2026-05-16
PaO0uLM66zY,고기보다 쫄깃한 마늘쫑조림 이거 안만들면 후회합니다,171856,2026-05-16
YmVC0jtHRlk,"""기발한무장아찌"" 이 방법은 환호성을 지릅니다",110563,2026-05-16
nYdvcUUM3xI,죽순 삶는 비법,92648,2026-05-16
U1Bs0Od-Xgc,이건 만드는게 엄청 쌉니다.,37420,2026-05-16
OGJL8WuKNNI,3시간 요리를 5분만에 만들었을 때,31459,2026-05-16
koT3SFcsQxQ,이건 만드는게 진짜 진짜 많이 쌉니다.,111855,2026-05-16
TNmsvf9zL7Q,사실 만들기 너무 쉬워서 올릴까 말까 고민했습니다.,81388,2026-05-16
M3JfN4beJgM,집에 여자친구가 놀러 왔을 땐 그냥 이거 만드세요.,67989,2026-05-16
JJxAKA5cqnk,이걸로 지금 당장 장사해도됩니다.,73317,2026-05-16
