video_id,title,view_count,recorded_at
NNWA5i7XsP8,'이걸' 바르니 고급스러워진! '동태전' 레시피!,652518,2026-02-12
2MhKpXYovJE,김치 사업으로 초대박 난~ 배우 박준면의 ‘봄동 겉절이 레시피’,670347,2026-02-12
d2jj3rPVpvg,"겨울이 끝나기 전에 꼭, 무장아찌 레시피‼️",2537994,2026-02-12
lqFt9DA_I1E,흑임자 드레싱 집에 있는 재료로 쉽게 하세요,2043443,2026-02-12
FsD5ZP_VMUQ,바삭하고 향긋해서 맛있는 &#39;새우 미나리전&#39; 레시피!,1939036,2026-02-12
TJ5GcgrkepY,1시간도 안걸리는데 더 맛있다는 이혜정 뚝딱고추장 레시피,1978502,2026-02-12
SgjImgnR2N0,계란을 있어보이게 먹는법 #계란요리 #오믈렛 #스크램블에그,1387584,2026-02-12
aKdWMEY6Rdw,[⭐️130만⭐️] 명절에꼭만들어야하는 나박김치 #shrots,1377315,2026-02-12
17GkV4PLmmk,약사가 빙수를 만드는 법,952152,2026-02-12
Y7hvZBTBTpg,재벌들이 감탄한 그 맛! 초간단 미자언니 떡갈비 레시피,881544,2026-02-12
RZDpal24VuE,초코파이로 생초콜렛 만들기🍫| #만들기#초코파이#초콜렛#만드는법 #음식만들기 #포장계 #관리자님이거추천어때요 #알고리즘아부탁해 #제발떠라 #떡상떡상떡상,758625,2026-02-12
LGXZ0Vc3bbk,5분 완성! MSG없이 건강한 양희경 뚝딱고추장 레시피,772683,2026-02-12
jBN5-dLVlM8,반찬하기 귀찮을 때 딱인 간단존맛 계란찜 만드는 법,745373,2026-02-12
EkDZvbjUHLc,[⭐️60만⭐️] 명절반찬 황태채볶음 황금레시피 #shrots,659909,2026-02-12
QGUYcHoJXF8,"생선종류 상관 없이, 기름 안튀고 굽는법‼️",481371,2026-02-12
0tgv1eGB0Wg,다이소 재료로 신박한 초콜릿 만드는 방법,621051,2026-02-12
7BAZUjkO5zU,4분 컷 에그마요 레시피,548381,2026-02-12
HtKC0RIY32k,오징어볶음 이 레시피로 종결. 실제 음식점에서 대박난 비법.,159615,2026-02-12
V6vcAv0vau8,300만 조회수 검증｜15분 닭볶음탕 황금레시피 (냉부 정호영 셰프),657622,2026-02-12
g_m3BtLS-Jo,5분 완성! 염도 조절 가능한 이상민 즉석된장 레시피,328211,2026-02-12
h7tQ1twmQBU,엄마도 감탄한 봄동겉절이 황금레시피 알려드릴게요.,312452,2026-02-12
ZmYNCC3qOMM,누룽지 아직도 후라이팬에 하세유?(초간단 누룽지 만드는법),342973,2026-02-12
KlWczM-p_nI,초간단 과일롤 만들기🍓| #만들기#초간단베이킹 #쉬움#만드는법 #포장계 #베이킹 #관리자님이거추천어때요 #알고리즘부탁해 #추천추천추천,148166,2026-02-12
k9KY0BZoRNU,겉바속촉 끝판왕 녹두빈대떡! 광장 시장 갈 필요없이 믹서기로 뚝딱~ 너무 맛있어서 가족들이 이것만 찾습니다,69495,2026-02-12
QaHz4gSHJF0,두쫀쿠 다음 아쫀쿠(아몬드쫀득쿠키)가 유행이라고요? ✨️레시피공개,109708,2026-02-12
7f0hpHV6pXs,"지금 만들면 가장 맛있는 제철 반찬, 봄동 겉절이 황금레시피",257573,2026-02-12
TyK2szcUQXw,더덕무침 이렇게만 해보세요 #간편요리,165676,2026-02-12
zNO0N1kTBlk,마파두부를 있어보이게 먹는 법 #백마파두부,98135,2026-02-12
iDSZTGQq3u8,칭찬받는 1등 명절반찬 6가지 레시피🥇 알고가세요~,53221,2026-02-12
SIsU8pcRLgc,[⭐️10만⭐️] 명절반찬 오징어초무침 #shrots,116899,2026-02-12
4ebny6s-U2Q,밀가루 달걀 넣지마세요! 가장 맛있는 녹두전 맛있게 만드는 법,44663,2026-02-12
x91vqhF_yGs,전문점보다 더 맛있는&quot;LA갈비찜&quot; 만들기,104592,2026-02-12
CQO_MVwv2_s,맥주가 생각나는 최강록 유린기 레시피,81937,2026-02-12
PPsFc96V-WY,30초만에 만드는 집코바치킨,93146,2026-02-12
ACOe-NHKfBI,속이 뻥! 뚫리는 시원한 나박김치 맛있게 담는법,28284,2026-02-12
o0iq0C3dmQM,눈오리 쿠키 만드는 법 #눈오리 #cookies #홈베이킹,41003,2026-02-12
Gs7slaKhM2c,배터지게 먹어도 살빠지는 볶음밥 #다이어트식단 #간단요리,43965,2026-02-12
Bvd6GA06Ano,부채살 바베큐: 미슐랭 1스타 레시피는 힘줄을 젤리처럼 만들어버립니다,429775,2026-02-12
0UCIHgbLw3k,💝히즈 vs 허즈 발렌타인 트윈 미니 초콜릿 케이크 His vs Hers Valentine’s Twin Mini Chocolate Cake #Shorts,9264,2026-02-12
Y1CVP8MK4WM,한 시트로 두 가지 발렌타인데이 트윈 미니 초콜릿 케이크 만들기 | 딸기 & 가나슈 크림 | Valentine's Day Twin Mini Chocolate Cake Recipe,19817,2026-02-12
qgJv0mjOIu8,발렌타인데이에 선물하기 좋은 페레로로쉐 파베 초콜릿 Ferrero Rocher Pave Chocolate for Valentine’s Day #Shorts,18292,2026-02-12
aeodITPUxb0,페레로로쉐 파베 초콜릿 & 휘낭시에 만들기 | 발렌타인데이 디저트 | Valentine's Ferrero Rocher Pave Chocolate & Financier Recipe,28178,2026-02-12
LR4RRXhvW3A,하트가 유리처럼 반짝💖발렌타인 딸기 초콜릿 무스케이크 Glassy Heart Shine!Valentine Strawberry Chocolate Mousse Cake #Shorts,21114,2026-02-12
acSCqwCc1kA,하트 딸기 초콜릿 무스케이크 | 발렌타인데이 케이크 만들기 | Heart Strawberry Chocolate Mousse Cake Recipe | Valentine's Day,38013,2026-02-12
gCFQx4LDbRI,꿀 바른 폭신 허니콤 크림치즈 브레드🍯 Sweet & Fluffy Honeycomb Cream Cheese Bread #Shorts,18509,2026-02-12
VjXezXZLb-U,"폭신+달콤! 허니콤 크림치즈빵 | 결이 살아있는 ‘찢어먹는 빵’ | Sweet, Gooey & Fluffy! Honeycomb Cream Cheese Bread Recipe",27638,2026-02-12
GCHoSKcpr-g,"21가지 초콜릿 케이크 & 디저트 레시피 모음 | 21 Chocolate Cake & Dessert Recipe | 홈베이킹 영상 | 딸기 케이크,브라우니 쿠키,치즈케이크,크레이프",32451,2026-02-12
mysqAKOXYhY,[이연복] 돼지고기와 애호박의 역대급 만남! 돼지고기조림 호박!,10965,2026-02-12
pN342xhTI8g,[이연복] 호불호 없는 중화불고기!,109174,2026-02-12
2vl9sfY65fs,빵순이가 5년째 만들어 먹는 현실적인 100% 통밀빵 (무반죽 · 섞기만 하면 · 에어프라이어 · 부라타 치즈 · 김밥 · 오이),40779,2026-02-12
gCfxpA2R7Ho,에이미의 입맛을 찾아준 소고기 타르타르!,134280,2026-02-12
xdqtjX5ti88,쫄깃한 소꼬리 구이를 먹는 방법!!,605536,2026-02-12
kHzrynFIttQ,명절에는 햇김치 배추겉절이로 산뜻하게 담아서 드셔보세요 2026 심방골주부,21198,2026-02-12
UFWIgnlxdxQ,칼칼하고 따끈한 오징어무국 맛있께 끓이는 방법,18551,2026-02-12
wIC2rfH3YUY,요즘같은 추위에 따듯한 오징어무국 맛있게 한번 끓여보세요 심방골주부,7974,2026-02-12
KCrra1VXF5Q,설탕 1도 없이 만드세요 도라지조청은 보약입니다,18575,2026-02-12
STb_seDUgR4," ""소고기육전"" 100%성공 노하우 알려드립니다",373260,2026-02-12
U2k9O0I0048,"""소고기무국"" 기가 막히게 끓이는 특급비법 알려드립니다",386331,2026-02-12
g6V1CxaaJXw,"""보리쌀강정"" 초보도 100% 성공합니다",46493,2026-02-12
-sTenlNfq3A,"느끼함 잡아주는 ""나박김치"" 이 방법은 보물입니다",541929,2026-02-12
izcyd47rQc8,"초간단 ""굴밥""",188126,2026-02-12
-6Yegg64NFs,불닭볶음면 10배 더 맛있게 먹는 방법,115139,2026-02-12
iz9vsDnrqhU,요즘 유행 이렇게 쉽게 만들 수 있습니다.,1974851,2026-02-12
3ZuroaT_hnk,라면 이렇게 먹으면 진짜 100배 더 맛있습니다.,106765,2026-02-12
cWEEJIv1GlU,제발 라면에 이걸 넣고 끓여보세요.,167005,2026-02-12
