video_id,title,view_count,recorded_at
lbhuvbzNzO8,박정아가 딸을 위해 뚝딱 만든 4가지 반찬 레시피,2117417,2026-06-17
sFwTp0l9QRY,쪄서 만든 쫄깃하고 맛있는 짜파게티 #자취요리,841344,2026-06-17
QuVkw3qQjQI,[오독오독 1년 보관] 전통식 끓인 소금물 오이지 ​#오이지레시피 #전통오이지 #오이지담그는법,516401,2026-06-17
lTrS6SXoEdI,3개월 만에 진하게 나오는 &#39;매실청&#39; 레시피!,1765686,2026-06-17
dUYpq5eTlj0,입맛 당기는~ 학교 앞 &#39;쫄면&#39; 레시피!,1334222,2026-06-17
ETnCwCH7DS0,집에 있는 애호박 박살내는 방법,1161891,2026-06-17
_Ccdac-OdYU,이혜정 고등어 김치조림 황금레시피#고등어조림 #고등어무조림 #간단요리 #집밥 #김치요리,925088,2026-06-17
CCLQWy5jvM8,집에 있는 재료로 금방 만드는 원팬잡채,822664,2026-06-17
ZzPai6TlRZs,토마토 스파게티 무조건 맛있게 만드는 법,312290,2026-06-17
kIk4LQyPgTM,딱 2일만에 완성😊 이렇게 쉽고 맛있는 매실장아찌는 처음 담가볼 거예요,105694,2026-06-17
yjfye3ZJCP4,노밀가루 고소함 폭발하는 애호박 레시피,253732,2026-06-17
6x5G2HWsWYo,부드러운 깻잎순볶음 정말 쉽습니다😊 알아두면 평생 쓰는 비법 정리,92059,2026-06-17
UfDeGaeQ1Xc,이혜정 토마토 고추장찌개 황금레시피 #레시피 #오늘도요리 #집밥,197416,2026-06-17
CMlC95TRARY,여름 오이장아찌 #mukbang  #cooking  #food #recipe  #koreanfood,194579,2026-06-17
MiWMR-I6ac0,배라 큐브케이크 1초만에 초코탕후루 만드는법?🤎 #koreanfood #asmr,101069,2026-06-17
tabp9vf2-q8,"이혜정 실패 없는 강된장 황금레시피, 밥 두 그릇 뚝딱! #레시피 #강된장  #집밥",136641,2026-06-17
5xnN-74Y26I,청양고추 잔뜩 사와 꼭 해보세요! 특별 비법 고추 다대기 만들기,51454,2026-06-17
KF8qY3ipdUc,10년 매장 비법 양파청 공개합니다.손님들이 자꾸 묻던 그 비법이에요.#양파청 #매장비법 #50대보약 #발효음식 #마음과몸이살아나는집#심신활가,110326,2026-06-17
JRtiM-7SJUg,소식좌도 계속 먹게 만드는 누룽지 황금 레시피 | #사랑의불시착,101210,2026-06-17
D9e1JKWio00,이틀만에 완성되는 매실장아찌 담그는법,75424,2026-06-17
E-BZAVLXqDQ,마늘쫑비빔밥 황금레시피입니다.,92581,2026-06-17
12tvatwNQR0,-5kg 감량한 초간단 비빔밥 레시피,70613,2026-06-17
BSNtiFZbAPU,여름마다 생각나는 할머니의 진짜 비빔국수 레시피 #비빔국수 #koreanfood #mukbang,54309,2026-06-17
ap1h4diWuO4,할머니의 레시피~ 열무김치! 부추를 같이 넣으면 감칠맛이~,45953,2026-06-17
NnTYzH-MhGs,잡채 하실 때 제발 간장 대신 이걸 넣으세요 #잡채 #잡채레시피 #잡채만드는법 #집반찬,48796,2026-06-17
a9qhbucA5C8,너무 맛있어서 무 한 통 다 먹는 여름 무생채 만들기,48928,2026-06-17
LJgrZg6ayKY,누룽지 절대 맹물에 끓이지 마세요! #누룽지 #누룽지만드는법 #누룽지레시피 #음식 #간식,51143,2026-06-17
GZr3F4yuwcc,한가인 눈 돌게 만든 흑백요리사 급식대가 김치찜 비법 최초공개   흑백요리사 #한가인 #급식대가 #김치찜만드는법 #김치찜황금레시피,30872,2026-06-17
zh7OalYXaf8,고추장 간단하고 쉽게 만드는법 #음식 #건강정보 #레시피,48895,2026-06-17
FhWaB2H_JuQ,"[급식대가] 빨간버전 어묵볶음 레시피 (요약본)ㅣENG, CHT, JPN",35600,2026-06-17
H3wKJAKHNZI,게장만큼 밥도둑인 닭날개조림 만드는법,27761,2026-06-17
TBq44b2aSlc,계란후라이 식용유 절대 안됩니다 몸에 좋은 계란후라이 만드는법,39055,2026-06-17
x2lWwuhUTHU,만 오천 원으로 만드는 오만 원짜리 누룽지닭백숙,115569,2026-06-17
MqZcU4i5aFY,산딸기 크림이 가득한 핑크 크림빵 만들기 | 베이커리 스타일 우유빵 | Raspberry Cream Buns Filled with Fluffy Cream | Milk Bread,12162,2026-06-17
VZha1F4bS-g,13가지🍑복숭아 케이크&디저트 레시피 모음 | 음악 없는 2시간 홈베이킹 ASMR | 13 Peach Cake&Dessert | 2 hours No Music Baking ASMR,11363,2026-06-17
B4Ty3BDcs2E,섞기만 하면 완성! 촉촉한 망고 코코넛 요거트 케이크 만들기 | 여름 디저트 | Just Mix and Bake! Moist Mango Coconut Yogurt Cake,16757,2026-06-17
_kr6PMIyDQk,"초코칩 가득, 누텔라 가득! 밀크 브레드 만들기 | 초코빵 | Nutella Filled Chocolate Chip Milk Bread | Soft Chocolate Buns",24878,2026-06-17
HHaGQLFcjBE,"(149) 3x Speed 케이크 디저트 베이킹 영상 | Cake Dessert Baking Video | 카라멜 초콜릿 케이크, 망고 슈크림, 레몬 쿠키, 크림빵, 딸기 푸딩",13950,2026-06-17
gM5zF8dUEIE,미국에서 난리났다는 레인보우 스프링클 닷케이크 컵 만들기｜쉬운 라즈베리 케이크 | Viral Rainbow Sprinkle Dot Cake Cup Recipe | Easy Cake,24960,2026-06-17
NP-rjDf4Zcw,[이연복] 의사들의 아침식사! 토마토 계란전!,97927,2026-06-17
QDE7iqxEwIs,여름용 밑반찬으로 좋은 마늘쫑 건새우볶음 #밑반찬,3284,2026-06-17
uM-qy92Axhg,요즘 제철인 밑반찬 고추잎 나물무침을 만들어보세요,7850,2026-06-17
vAjJMa-OxXg,거품 안생기는 매실청 비법,127201,2026-06-17
3JKqLChTWPM,오이냉채는 이렇게 만들어야 인정 받습니다,112476,2026-06-17
5Ljc6YFaFhM,감칠맛 돌게 무치는 쑥갓나물 비법 알려드립니다,35633,2026-06-17
JqyQUSNys70,꽈리고추 이렇게 드세요 감칠맛 폭발합니다,249373,2026-06-17
