video_id,title,current_view
Ri3gNZGt6B8,전국 짜파게티 대회 1등 레시피 별거 없네요?,3673839
wetE0O70Kkg,한국에서 가장 맛없는 생선을 요리 해봤습니다,526455
b4UtoZCI8kE,"반찬가게에서 쓰는, 오이김치… 물 안나오는 2가지 꿀팁!!",902002
lRUv2lkqdKQ,밥솥 하나로 한 끼 끝!,1132535
2zoEzZHiZlk,정말 정겨운 반찬 '고구마줄기볶음' 레시피!,1240993
UzEWMLBsryw,"남편 주상욱이 3그릇 먹은 차장금표 초간단 보양식 레시피! (닭곰탕, 두부조림)",475564
tNGU20kDa0E,깊은 맛의 비밀 전부 공개! '된장찌개' 레시피!,868781
mD9qgOonZIA,[⭐️60만⭐️] 여름에담가먹는 양배추물김치 #shrots,676225
LYgOCRZ9ZZk,식당보다 더 맛있는 애호박 만드는 법!,455142
Qoav84JJ2Vw,기름장보다 3배 더 맛있는 고추장소스!!,461945
_9UqklyjFlA,오래된 검은 된장 절대 버리지 마세요 명품 된장 만드는 법,386619
IKX5Ls5ex_E,자취생의 뿌링클 풀세트 만드는 법🔥#shorts #뿌링클 #자취요리 #레시피 #집밥,226194
yDnFgBVQjQc,똥손도 만드는 초간단 김치 만드는 법 #김치레시피#겉절이#배추겉절이,253177
qW-tNJeeKK8,고구마줄기김치 담그기 전에 꼭 보세요! 평생 써먹는 최고의 맛입니다,109604
AaVMo-afce4,감칠맛 제대로! 제일 맛있는 [가지볶음],104018
6lc1VGMypK0,“줄서서 먹는 대박집 깻잎물김치” 이렇게 담가보세요,35800
k1Ov_tImCPU,누룽지 아직도 후라이팬에 하세유?(초간단 누룽지 만드는법) #생활꿀팁 #꿀팁 #일상팁 #유용한정보 #생활정보,88316
7_ra1yZP4ak,폭신폭신 우유 팬케이크 만드는 법!,75393
KedOZE7QSvw,중독성 있는 핑크젤리 만드는 법이라는데,59794
zP16DyPbfqg,이탈리아인이 보면 기절할 피자 만드는 법,56856
S2r2iNBjSgU,아이스크림 쫀득하게 만드는법?? #shorts,45278
oQIjxo6mkvA,양념까지 싹싹 긁어먹고 배달음식 끊었어요! 닭볶음탕 이 방법이 최고입니다,19236
wI_fI7tOIrs,어부들이 캐비어를 만드는 법,34658
GQySe-dZTwM,정육점에서 버리는 고기로 끓여야 진짜 맛있습니다!,105620
u1pMKR9kmlQ,5분 만에 끓였는데 50년 된 맛집 맛이 납니다!,324833
OgR00HBMKFs,와이프 친구들이 먹고 제발 팔아달라는 김치찜!,350891
w7Y1VTjST-E,김치찜에는 무조건 이게 들어가야 합니다!,113771
_vPORRJMT6k,(20) 음악 없는 2시간 케이크 & 디저트 베이킹 ASMR | 수면·공부·휴식 | 2 Hours No Music Baking ASMR | Cake & Dessert Baking,1528
GFg3uUcO36M,젤라틴 없이 만드는 부드러운 복숭아 우유 푸딩 🍑 No-Gelatin Peach Milk Pudding! Soft & Creamy #Shorts,6030
8MGwydlgi8U,노젤라틴 복숭아 우유 푸딩 만들기 | 쉬운 노오븐 컵 디저트 | No-Gelatin Peach Milk Pudding Recipe | Easy No-Bake Cup Dessert,10419
f-kR-R0PUvA,거꾸로 뒤집어 완성! 블루베리 업사이드다운 치즈케이크 Viral Upside-Down Blueberry Cheesecake! No-Bake Dessert #Shorts,11260
KpCr9kxtcso,요즘 핫한 업사이드다운 치즈케이크 만들기 | 노오븐 블루베리 레몬 치즈케이크 | Viral Upside-Down Blueberry Cheesecake Recipe | No-Bake,41207
306wNT1N-2s,음악 없는 16가지 노오븐 케이크&디저트 레시피 모음 | 2시간 홈베이킹 ASMR | No Music No-Bake Cake&Dessert | 2 hours Baking ASMR,30997
iesRLjjjWMk,떠먹는 초콜릿 카라멜 케이크! 런던 바이럴 케이크 컵 Chocolate Caramel Scoop Cake! London’s Viral Cake in a Cup #Shorts,13887
69fEMhk-dks,"런던 바이럴 초콜릿 카라멜 케이크, 이번엔 컵으로! | 떠먹는 케이크 만들기 | London’s Viral Chocolate Caramel Cake—Now in a Cup!",43243
UtBJxMyyMfA,진짜 복숭아처럼 만든 아그작 요거트 무스 케이크 Realistic Peach Yogurt Mousse Cake! Crispy Chocolate #Shorts,22943
CoUx25NRDXI,이 소스 하나로 호박이 고급 레스토랑 요리가 됩니다 🎃 #shorts  #레시피 #cooking,7028
-jmINyCEFdE,[이연복] 사르르 녹는 손님상 필살기! 이연복 매콤 등갈비찜,9541
TB4gUfwkWJE,의사들도 몸 챙기려 몰래 먹는다는 샐러드의 정체 🥗 #shorts  #레시피 #cooking  #영양식,11987
Lg9I4E9PDG4,갑작스러운 손님 방문? 5분 만에 끝내는 특급 안주 🍺 #shorts  #레시피 #키친타올 #cooking,78013
USzPap3oDEI,쇼호스트가 여름마다 챙겨 먹는 비밀 다이어트 비빔면 🍜 #shorts #레시피 #cooking,26728
DmRGeJCF13U,대가 이연복이 직접 공개한 여름 별미 황금레시피 🍉 #Shorts #cooking #레시피,30515
2OUnLrSxmwQ,"[이연복] 밥 한 숟갈에 일식당 온 기분, 궁채새우장덮밥",4587
oaapYYkJ6aQ,"후라이팬 누룽지 삼계탕 도전기.. (초간단 만능 식초, 고추짱아찌 레시피)",56405
8LcVIrKYijs,토마토 계란볶음 집에서 간편하고 맛있게 만드는 방법,1410
HjqKFG1yorc,무더운 여름 시원한 가지냉국 맛있고 간편하게 만드는 방법 2026,2922
cPLRQrO0x_E,무더위에 두유로 간편하고 시원하게 콩국수를 맛있게 만들어보세요,2250
SFzDEMoYpTA,단백질 폭탄 황태채장아찌 이거 완전 밥도둑입니다,54945
UQ26h6YkEds,수박 써는법과 화채 만드는법,33627
4LhCcyhXuVU,"깻잎김치에 ""이걸"" 넣었더니 맛있다고 난리가났어요",78054
TIl0WRldjAU,가지와 호박 더 이상 볶지 말고 무치세요,316799
c9mIt9l5cyY,"""냉대패삼겹살무침"" 이거 한번 맛보면 헤어나질 못합니다",35441
kc_Xahv9CjI,오이지 이렇게 무치면 다른 반찬은 눈에도 안들어옵니다,283408
tkwcpfvrTko,너무 맛있어서 2번 연속 만들어 먹었습니다.,29949
D2KTpVr6EbA,배달 시키지 말고 이렇게 드셔보세요. 개쉬움.,63883
KhC0dLip_8o,라면 제발 이렇게 드셔보세요. 진심 대존맛입니다.,212422
Zx071bkj408,제발 짜파게티 그냥 먹지 마세요.,115393
yJRgPYWw8S8,너무 맛있어서 2일 연속 먹었습니다.,430629
0wd9V-OWEtE,고기 1분만 끓이면 소름,269101
5aIgwp8sAg4,통다리 구이를 간단하게 먹는 방법,3378220
EnnoEYchU9I,맛있는 레시피✨,841060
lxDE_l-oJtY,단돈 1만원 불 없이 만드는 성시경 누룽지 닭백숙,1165038
6oJyovrIXQ0,딱 3가지 재료만 넣으면 끝!,424049
mu5r4Ih0HPo,여름깍두기 절대 소금에 절이지 마세요! 이렇게 하면 끝까지 아삭합니다,287932
eB14NyAZJMI,50년 비법 몽땅 담은 노각무침 황금레시피,168526
0cdAc9f73_o,의사도 자주 먹는 여름 보양식 초간단 버섯들깨탕! 육수도 필요 없어요! 집에 있는 재료로 다 넣고 끓이면 끝!,25340
nMn-WvhHLAw,"감자, 삶지 마세요! 전자레인지 4분이면 온 가족 반찬이 됩니다 #감자요리 #전자레인지요리 #감자구이 #겉바속촉감자 #초간단반찬 #집밥레시피 #감자반찬 #에어프라이어없는감자구이",18862
gx9GzKohj5o,"아무도 안 따라하겠지만, 혹시 따라한다면 후회는 없을 겁니다!",37022
nuebk_v3nU4,복숭아를 그대로 닮은 아그작 복숭아 요거트 무스 케이크 만들기 | Realistic Peach Yogurt  Mousse Cake | Crispy Chocolate Shell,51240
rD9EjyFbOqM,"[이연복] 슈크림 같은 두부의 정체, 즉석생마파두부",16309
QEnQ0u5Ttsc,카페보다 맛있는 비밀,44591
j8FkYU5Rm8s,너무 더워서 대존맛 치트키 갑니다.,107999
mLyHX1AoCss,이거 하나면 배달 안 시켜도 됩니다.,73564
OPBgrOd1maI,마트에서 노각 보이면 바로 집으세요❗️#노각무침 #밥반찬 #간단요리,528544
2PjTGihO77Q,라면보다 쉬운 잡채레시피! #원팬간단잡채 [신상출시 편스토랑/funstaurant] | KBS 260501 방송,2117856
2sJt0qcZS3E,계란 후라이 100배 맛있게 먹는 법,1082779
ALQd6PZllnE,맛없는 묵은지 이렇게 볶아보세요!,1001902
iDbTntmKUJo,반찬가게 열무김치 레시피 부터... 열무국수 + 비빔국수 만능양념장 까지‼️ 이 영상 하나면 충분합니다✨,329394
dZPmjlDrxLk,"비싼 샐러드 사지 마세요! 저속 노화 식단의 정석, 요즘 난리 난 가지 토마토 마리네이드🍆",228465
lweASTGDbDc,요즘 엄마들 사이에서 난리난 불 안쓰는 초간단 레시피! 가스레인지 켜지 마세요! 딱 3가지 재료만 넣어서 말면 끝!,162726
opEEexpkSq4,의사가 추천하는 눈에 좋은 양배추물김치 레시피,362788
kYuk1_X2YlU,할머니의 겉바속촉~ 가지전! 제철 가지가 고기 보다 맛있다~,98937
Wu_qVv6U2I8,"(151) 3x Speed 케이크 디저트 베이킹 영상 | Cake Dessert Baking Video | 초콜릿 카라멜 케이크, 피스타치오 케이크, 복숭아 디저트, 초코칩 쿠키",16965
jg9IFq7R3_w,제발 라면에 이걸 넣어보세요. 대존맛 됩니다.,129829
aJseD3sgM_o,초간단 갈치 먹는 법(순살 보다 더 편함),458004
_GohGsybI8k,끝내주는 국물 맛...! 된장찌개 꼭 알아야 하는 3가지 비법!,277338
trIm-qoJ0lA,냉국에 가지를 넣으면 생기는 일...! 가지를 냉국에 넣어드시나요? #가지냉국 #냉국레시피,433895
iVKBU29wdw8,잔멸치볶음 간장 넣고 볶지 마세요! '이것' 한스푼이면 밥 두 공기 순식간에 사라집니다,481202
jKe-AGkKOtE,아삭아삭 새콤달콤! 양배추 양파무침 황금레시피!,318547
9jGgQcQfBE8,입맛 살아나는 여름 김치 [알배추 김치],187004
WeTnma3H4DU,빠작하게 깨지는 초바삭 크런치 쿠키슈 | 크림가득 슈크림 | Super Crispy Cookie Choux with a Crackly Top! Cream Puffs Recipe,20482
a4hLiieU188,찬물로 더 바삭한 치킨 만드는 법,3119118
i1nyiMoFwxc,[⭐️200만⭐️] 짜지않은 된장 청양고추 장아찌 #shrots,2244488
jIo6Ujwrstg,"두부, 이제 부치지 마세요! 전자레인지 5분이면 밥도둑 반찬이 됩니다 ｜초간단 두부요리 3가지!! #두부요리 #전자레인지요리 #두부조림 #두부계란찜 #두부짜글이 #여름반찬",94318
_FRE_Rqs-oo,물 안 생기는 오이무침🥒 요즘 SNS 난리난 김선영 셰프 한정식 오이무침 레시피#오이무침 #물안생기는오이무침 #김선영셰프 #오이무침황금레시피 #한정식오이무침,117135
YeNPt8_Qj4A,이대로만 담그세요. 제일 맛있는 [깻잎 장아찌],76534
OgRbKltsieo,방학용 냉동실 채우고❄️내 최애 쑥과자까지 굽는 일상 (편한데 왜 눈물이 나지),41658
Sbbw_cYJK9U,여름철 제철인 감자로 포근포근한 감자국을 맛있게 끓여보세요,39566
irmaLFyAWVc,"갈비보다 맛있는 ""오겹살볶음"" 한번 맛보면 잊을 수 없습니다",222209
evbGL5tiByA,비빔면 이렇게 먹으면 진짜 대존맛 (비밀 레시피),79290
0OTYfG_QXdA,중년에 꼭 먹어야 하는 '식초 검은콩' 만드는 법!,749888
x94bH4KlMNI,이거 먹으려고 감자 한 박스 또 사 왔어요! 요즘 아침마다 난리 난 초간단 감자 레시피! 매일 먹어도 안 질려요,112604
SKtF7l5e7iE,삼복더위 “이열치열” 제철 감자 활용한 100% #감자수제비,179626
D_PitTrbw00,“끝까지 아삭해요!” 50년 비법 몽땅 담은 노각무침 황금레시피,18369
IV1ii1cdZ6Y,해물탕 밀키트는 꼭 이렇게 드세요!,52190
ClfniUUg6sk,파히타 : 한국인은 무조건 좋아할 텍사스식 안창살 쌈밥 정식 (Original Tex-Mex Fajitas),418427
ZjncBM1BQEY,노버터! 오렌지향 가득 촉촉한 케이크 No-Butter Moist Orange Glaze Cake #Shorts,14451
PYegCRQ8Io8,여름 무더위 간식 복숭아 통조림 건강하고 맛있게 만드는 방법,55430
pNuHlNy2E3o,애호박 이렇게 드세요,366556
9rgrhMEzW5c,"""가지냉국"" 이 방법은 보물입니다",277403
rwQI-t6rg-k,김재중이 조카들을 위해 만든 감자 츄로스 핫도그 레시피,2072707
dZSBSYoN3Jc,"강추! 쫄깃쫀득, 새송이버섯이   밥도둑되는 비법#새송이버섯볶음 #새송이버섯#어묵볶음#밥도둑반찬",2539174
ds1oJVv-KTg,당면 삶지마세요 ⭐️원팬⭐️ 잡채 황금레시피,1291217
LU41vzosZfc,남은 엽떡 맛있게 먹는 법🔥 #shorts #엽떡 #짜파게티 #자취요리 #집밥,810228
zYAgoGXSMwQ,"미숫가루 물vs우유, 제대로 타먹는 법?!",259505
_J7dIB_Vz2w,식당 맛 그대로! 아삭한 새콤달콤 무절임 황금레시피!,158230
rsF0WzwCVVs,바삭한 초콜릿 토핑! 크런치 초콜릿 치즈케이크 Chocolate Crunch Cheesecake with Crispy Topping #Shorts,13639
Q7U-vm5WbRg,제발 대패삼겹살 굽지 마세요.,165569
qkni5VhhEHY,한고은이 관리할 때 먹는 초간단 계란 요리,1263381
yvOMkxfBx1w,“맛없는 묵은지 있으면” 이렇게 볶아보세요😊,170037
UBVktm1hIBI,폭신폭신 우유 찹쌀떡 황금레시피!,119111
tyZEP1qJ4FM,웬만한 만두보다 맛있고 살찌지 않는 초간단 애호박레시피,88594
FFqN4NhuTEs,할머니의 호박잎쌈과 된장찌개! 손질부터 찌는 법까지 한번에~,78947
gPm2CkWMqac,평생 써먹는 초간단 애호박 레시피,52432
JxIHt5WEXS0,최화정 레시피 또 터졌다🔥 감자오징어전 이렇게 만드세요!요즘 SNS에서 난리 난 최화정 감자오징어전🥔🦑#최화정 #최화정레시피 #감자오징어전 #감자전 #감자요리,36531
tHLvYKNmemM,손님 초대 요리 고민이라면 아롱사태 전골 🥩 있어 보이는데 생각보다 쉬워요,36768
